layers,epochs,train_accuracy,validation_accuracy
150_1000_50_9_1000000,400,0.784,0.65
30_1000_500_9_1000000,31,0.931,0.841
30_1000_800_9_1000000,20,0.934,0.842
30_1000_1000_9_1000000,5,0.863,0.84
30_1200_1200_9_1000000,20,0.941,0.844
